cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,Dates,Time,Year
182,3.0,2.0,93.0,6.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,0,2015
138,3.0,2.5,93.0,5.0,Clear,0.0,1.0,Winter,2015-01-04,1,2015
134,2.5,2.5,96.5,0.0,Clear,0.0,1.0,Winter,2015-01-04,2,2015
72,2.0,2.0,100.0,0.0,Clear,0.0,1.0,Winter,2015-01-04,3,2015
47,2.0,0.0,93.0,6.5,Clear,0.0,1.0,Winter,2015-01-04,4,2015
46,2.0,2.0,93.0,4.0,Clear,0.0,1.0,Winter,2015-01-04,5,2015
51,1.0,-1.0,100.0,7.0,Cloudy,0.0,1.0,Winter,2015-01-04,6,2015
75,1.0,-1.0,100.0,7.0,Cloudy,0.0,1.0,Winter,2015-01-04,7,2015
131,1.5,-1.0,96.5,8.0,Cloudy,0.0,1.0,Winter,2015-01-04,8,2015
301,2.0,-0.5,100.0,9.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,9,2015
528,3.0,-0.5,93.0,12.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,10,2015
727,2.0,-1.5,100.0,12.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,11,2015
862,2.0,-1.5,96.5,13.0,Cloudy,0.0,1.0,Winter,2015-01-04,12,2015
916,3.0,-0.5,87.0,15.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,13,2015
1039,2.5,0.0,90.0,8.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,14,2015
869,2.0,-1.5,93.0,11.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,15,2015
737,3.0,0.0,93.0,12.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,16,2015
594,3.0,0.0,93.0,11.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,17,2015
522,3.0,1.5,93.0,6.5,Broken Clouds,0.0,1.0,Winter,2015-01-04,18,2015
379,3.0,1.0,93.0,7.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,19,2015
328,3.0,3.0,93.0,4.0,Broken Clouds,0.0,1.0,Winter,2015-01-04,20,2015
221,3.0,2.5,93.0,5.0,Cloudy,0.0,1.0,Winter,2015-01-04,21,2015
178,3.0,2.0,93.0,6.0,Cloudy,0.0,1.0,Winter,2015-01-04,22,2015
157,4.0,3.5,87.0,5.0,Cloudy,0.0,1.0,Winter,2015-01-04,23,2015
83,4.0,3.0,93.0,6.0,Cloudy,0.0,0.0,Winter,2015-01-05,0,2015
67,4.0,3.5,93.0,5.0,Cloudy,0.0,0.0,Winter,2015-01-05,1,2015
32,5.0,4.0,87.0,6.0,Cloudy,0.0,0.0,Winter,2015-01-05,2,2015
22,6.0,4.5,84.0,7.5,Cloudy,0.0,0.0,Winter,2015-01-05,3,2015
38,6.5,5.0,84.0,8.0,Cloudy,0.0,0.0,Winter,2015-01-05,4,2015
81,6.0,5.5,87.0,5.0,Cloudy,0.0,0.0,Winter,2015-01-05,5,2015
444,7.0,6.5,81.0,5.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,6,2015
1597,7.0,6.0,81.0,6.5,Broken Clouds,0.0,0.0,Winter,2015-01-05,7,2015
3161,8.0,7.5,79.0,5.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,8,2015
1342,8.0,7.0,82.0,6.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,9,2015
568,9.0,8.0,84.5,6.5,Broken Clouds,0.0,0.0,Winter,2015-01-05,10,2015
584,9.0,7.5,90.5,10.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,11,2015
762,10.0,8.0,85.0,11.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,12,2015
873,10.0,8.5,82.0,10.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,13,2015
672,10.0,9.0,82.0,9.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,14,2015
807,10.0,8.5,79.0,10.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,15,2015
1192,10.0,8.5,73.5,13.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,16,2015
2761,9.5,7.5,73.5,12.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,17,2015
2389,9.5,7.5,69.0,14.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,18,2015
1274,9.0,6.5,71.0,14.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,19,2015
696,9.0,7.0,71.0,14.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,20,2015
411,9.0,7.0,71.0,11.0,Broken Clouds,0.0,0.0,Winter,2015-01-05,21,2015
324,9.0,7.5,71.0,10.0,Cloudy,0.0,0.0,Winter,2015-01-05,22,2015
192,8.5,7.5,73.5,8.0,Cloudy,0.0,0.0,Winter,2015-01-05,23,2015
91,8.0,6.5,76.0,8.0,Cloudy,0.0,0.0,Winter,2015-01-06,0,2015
73,8.0,6.5,76.0,8.0,Cloudy,0.0,0.0,Winter,2015-01-06,1,2015
33,8.0,6.0,76.0,11.0,Cloudy,0.0,0.0,Winter,2015-01-06,2,2015
19,8.0,5.5,76.0,14.0,Cloudy,0.0,0.0,Winter,2015-01-06,3,2015
40,8.5,6.5,73.5,11.0,Cloudy,0.0,0.0,Winter,2015-01-06,4,2015
74,8.0,5.5,82.0,14.0,Cloudy,0.0,0.0,Winter,2015-01-06,5,2015
530,8.0,5.0,84.5,15.0,Broken Clouds,0.0,0.0,Winter,2015-01-06,6,2015
1715,9.0,7.0,82.0,13.0,Broken Clouds,0.0,0.0,Winter,2015-01-06,7,2015
3534,9.0,7.0,82.0,12.0,Rain,0.0,0.0,Winter,2015-01-06,8,2015
1573,9.0,6.5,87.0,16.0,Rain,0.0,0.0,Winter,2015-01-06,9,2015
635,10.0,7.5,88.0,19.5,Broken Clouds,0.0,0.0,Winter,2015-01-06,10,2015
550,10.0,8.0,88.0,18.0,Broken Clouds,0.0,0.0,Winter,2015-01-06,11,2015
395,11.0,11.0,85.0,19.0,Rain,0.0,0.0,Winter,2015-01-06,12,2015
426,9.5,6.0,84.5,27.5,Broken Clouds,0.0,0.0,Winter,2015-01-06,13,2015
579,9.0,6.0,71.0,26.0,Broken Clouds,0.0,0.0,Winter,2015-01-06,14,2015
718,8.0,4.5,71.0,23.0,Scattered Clouds,0.0,0.0,Winter,2015-01-06,15,2015
1184,8.0,5.0,68.5,19.5,Scattered Clouds,0.0,0.0,Winter,2015-01-06,16,2015
2662,7.5,4.0,71.0,22.0,Clear,0.0,0.0,Winter,2015-01-06,17,2015
2610,7.0,4.0,71.0,17.5,Clear,0.0,0.0,Winter,2015-01-06,18,2015
1402,6.0,3.0,76.0,15.0,Clear,0.0,0.0,Winter,2015-01-06,19,2015
720,5.5,2.5,78.5,15.0,Clear,0.0,0.0,Winter,2015-01-06,20,2015
494,5.0,2.0,81.0,15.0,Clear,0.0,0.0,Winter,2015-01-06,21,2015
344,4.5,1.5,81.0,13.0,Clear,0.0,0.0,Winter,2015-01-06,22,2015
212,4.0,1.0,84.0,12.0,Clear,0.0,0.0,Winter,2015-01-06,23,2015
102,4.0,1.0,81.0,12.0,Clear,0.0,0.0,Winter,2015-01-07,0,2015
60,4.0,1.0,81.0,11.0,Clear,0.0,0.0,Winter,2015-01-07,1,2015
33,4.0,1.5,81.0,10.0,Clear,0.0,0.0,Winter,2015-01-07,2,2015
26,3.5,1.0,84.0,9.0,Scattered Clouds,0.0,0.0,Winter,2015-01-07,3,2015
33,4.0,1.5,81.0,10.0,Scattered Clouds,0.0,0.0,Winter,2015-01-07,4,2015
80,4.0,2.0,87.0,9.0,Clear,0.0,0.0,Winter,2015-01-07,5,2015
526,5.0,2.5,81.0,10.0,Clear,0.0,0.0,Winter,2015-01-07,6,2015
